,firm_Score,Firm,ad_Firm_Role,Job_Location,Provincia,Regione,Cultura_e_tempolibero,Affari_e_lavoro,Ricchezza_e_consumi,Giustizia_e_sicurezza,Demografia_e_società,Ambiente_e_servizi,Average_punt
0,3.3,Teamsystem,Data Scientist - Milano/Torino/Pesaro/Campobasso,Milano,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
1,1.4,VJ Technology Srl,DATA SCIENTIST,Roma,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
2,4.2,Newel Health,Junior Data Scientist,Remote,,,,,,,,,
3,4.9,Agile Lab,Data Scientist II (Remote),Turin,Torino,Piedmont,393.6,492.1,648.1,639.8,578.1,433.093,530.799
4,3.8,Wind Tre S.p.A. con Socio Unico,Data Scientist Junior,Rho,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
5,3.5,TENOVA,Data Scientist,Castellanza,Varese,Lombardy,343.8,499.9,637.9,688.4,560.0,444.486,529.081
6,3.8,Merkle,Junior Data Scientist,Remote,,,,,,,,,
7,4.5,i-EM,Data Scientist,Rome,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
8,3.5,Sferanet,Data Scientist Junior,Roma,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
9,5,AMA European Consulting,Data Scientist (EU Joint Research Program),Ispra,Varese,Lombardy,343.8,499.9,637.9,688.4,560.0,444.486,529.081
10,3.9,Merkle DACH,Junior Data Scientist,Remote,,,,,,,,,
11,4.4,XNEXT,Data Scientist,Rome,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
12,5,Modelway,Data Scientist,Remote,,,,,,,,,
13,4.2,Manpower,DATA SCIENTIST,Vercelli,Vercelli,Piedmont,332.4,382.6,613.5,814.6,526.7,389.579,509.897
14,4.3,FRONTIERE,Junior Data Scientist,Roma,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
15,3.1,RE COLLECTION SRL,Data Scientist,Rome,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
16,4,Allianz Italy,JUNIOR DATA SCIENTIST - CLAIMS,Milano,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
17,3.9,NTT DATA,DATA SCIENTIST SENIOR,Bari,Bari,Apulia,293.3,527.2,508.3,646.8,504.0,457.258,489.476
18,4.2,Mollie,Data Scientist,Remote,,,,,,,,,
19,4.1,Axpo Italia SpA,Data Scientist,Remote,,,,,,,,,
20,4,Lilly,Data Scientist,Remote,,,,,,,,,
21,3.6,UniCredit Bank,Data Scientist Global Protection Platform Curricular Internship,Torino,Torino,Piedmont,393.6,492.1,648.1,639.8,578.1,433.093,530.799
22,4,RGA,Data Scientist Intern,Remote,,,,,,,,,
23,3.6,Generali Italia,Data scientist,Remote,,,,,,,,,
24,4,A2A S.p.A.,MASTER DATA SCIENTIST,Rome,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
25,3.6,UniCredit Bank,Curricular Internship / Client Intelligence - Customer Engagement Data Scientist,Rozzano,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
26,3.5,Ospedale San Raffaele srl,Biostatistician/Data Scientist - Cardiothoracic and Vascular Department,Remote,,,,,,,,,
27,3.9,Easy Market,Data Scientist – Internship,Rimini,Rimini,Emilia-Romagna,483.6,531.2,557.7,558.7,547.9,456.646,522.624
28,3.4,Hitachi Energy Italy S.P.A.,Business R&D Associate Data Scientist,Monselice,Padova,Veneto,376.5,515.4,626.2,699.9,584.7,445.117,541.303
29,3.3,Menarini Silicon Biosystems,SCIENTIST/CELL BIOLOGIST,Castel Maggiore,Bologna,Emilia-Romagna,470.1,545.6,688.8,629.9,688.1,518.977,590.246
30,4,IQVIA,R&D Analytical Scientist,Remote,,,,,,,,,
31,3.7,BVA Doxa,Junior Data Scientist,Oristano,Oristano,Sardinia,267.4,428.8,431.0,843.9,398.6,544.457,485.693
32,3.4,Pizzarotti & C. S.p.A.,DATA SCIENTIST - SMART INFRASTRUCTURES,Parma,Parma,Emilia-Romagna,453.9,498.0,664.1,663.7,633.9,529.189,573.798
33,3.6,Aptuit,Associate Scientist,Verona,Verona,Veneto,397.1,518.8,652.9,749.5,620.4,416.296,559.166
34,3.8,Merkle,Data Scientist,Remote,,,,,,,,,
35,3.9,Hitachi Energy,Business R&D Associate Data Scientist,Monselice,Padova,Veneto,376.5,515.4,626.2,699.9,584.7,445.117,541.303
36,4.5,Techyon,MACHINE LEARNING | BIG DATA | DATA SCIENTIST,Trieste,Trieste,Friuli-Venezia Giulia,510.1,604.4,584.4,672.6,589.0,485.53,574.338
37,3.5,Value Partners,Data Scientist,Milano,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
38,5,TapMyLife Srl,Data scientist,Bergamo,Bergamo,Lombardy,413.6,490.3,651.4,768.3,555.7,488.336,561.273
39,3.5,Iper La grande i,DATA SCIENTIST - MARKETING,Remote,,,,,,,,,
40,3.1,RE COLLECTION SRL,STAGE DATA SCIENTIST,Rome,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
41,3.8,Bruker,Application Scientist XRD/XRF (m/f/d),Remote,,,,,,,,,
42,3.4,P&P Consulting,Data Scientist,Remote,,,,,,,,,
43,4.4,Musixmatch,"Data Scientist, Machine Learning & AI",Bologna,Bologna,Emilia-Romagna,470.1,545.6,688.8,629.9,688.1,518.977,590.246
44,4,A2A S.p.A.,DATA SCIENTIST,Rimini,Rimini,Emilia-Romagna,483.6,531.2,557.7,558.7,547.9,456.646,522.624
45,4.2,NRB,Data Scientist,Ispra,Varese,Lombardy,343.8,499.9,637.9,688.4,560.0,444.486,529.081
46,5,Spaziodati,Machine Learning Engineer / Data Scientist,Trento,Trento,Trentino-Alto Adige,448.5,519.3,662.3,701.1,591.8,536.632,576.605
47,4.3,CGM Consulting,Data Scientist,Rome,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
48,3.9,InfoCamere,DATA ANALYST rif. DANA0323,Padova,Padova,Veneto,376.5,515.4,626.2,699.9,584.7,445.117,541.303
49,3.5,Tesmec spa - sede di Grassobbio,Data Scientist,Grassobbio,Bergamo,Lombardy,413.6,490.3,651.4,768.3,555.7,488.336,561.273
50,3.5,Akkodis,Data Scientist,Padova,Padova,Veneto,376.5,515.4,626.2,699.9,584.7,445.117,541.303
51,3.6,UniCredit Bank,Curricular Internship / Client Intelligence - Customer Engagement Data Scientist,Remote,,,,,,,,,
52,2.3,LUBEA,DATA ENGINEER,Roma,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
